1;Grodzisko/ 3 MAJA, Dπbrowskiego;14;"Umocnienia Grodziska wraz z elementami strukturalnymi (majdan fortu Grodzisko, Bastion Jerozolimski, Wysokie Czolo Kurkowe, Wysokie Skrzyd≥o Kurkowe,. Niskie Czolo Kurkowe, Luneta Senarmomt""a, Zbrojownia";474
2;Grodzisko, Strzelecka/ Nowe Ogrody/ Dπbrowskiego/ PowstaÒcÛw Warszawskich;;"Umocnienia Doliny Nowych OgrodÛw, zespÛ≥ pn. z elementami strukturalnymi i obiektami: Bastion Neubauer""a, dom wa≥mistrza, poterna prawego barku niskiego, kurtyna Bastionu Neubauer""a, poterna do fosy";471
3;Grodzisko, m. Stawki, PrzybÛj, GÛrka, Pohulanka;;Umocnienia Doliny Nowych OgrodÛw, zespÛ≥ pd. wraz z elementami strukturalnymi i obiektami: Zakos Strakowskiego Pd., Zakos Piaskowy Pn.;472
4;3 Maja ;;Reduta NapoleoÒska (Reduta, fosa reduty. Przeciwskarpa fosy, z galeriπ strzeleckπ, przejscie pod fosπ, kryty korytarz, Brama Pn. Fortu grodzisko z wartowniπ);473
5;3 MAJA;09;kamienica;
6;3 MAJA;09 A;kamienica;
7;3 MAJA;09 B;kamienica;
8;3 MAJA;09 C;kamienica;
9;3 MAJA;16 k.;dom;
10;3 MAJA;19 A/21/21 ABCD;zespÛ≥ szpitala Boøego Cia≥a (koúciÛ≥, plebania, szpital, 4 domy mieszkalne) ;65
11;3 MAJA;19 A/21/21 ABCD;cmentarz;65
12;3 MAJA;24;kamienica;
13;3 MAJA;25;kamienica;
14;3 MAJA;25 A;kamienica;
15;ABRAHAMA Antoniego;18;dom;
16;ABRAHAMA Antoniego;19;dom;
17;ABRAHAMA Antoniego;20;dom;
18;ABRAHAMA Antoniego;26 A;dom;
19;ABRAHAMA Antoniego;27;dom;
20;ABRAHAMA Antoniego;28;dom;
21;ABRAHAMA Antoniego;33;dom;
22;ABRAHAMA Antoniego;34;dom;
23;AGRARNA;2;zespÛ≥ dworsko-parkowy Matarnia (dwÛr, park, chlewnia, obora);1053
24;AKSAMITNA;4 A;kamienica;
25;AKSAMITNA;9 A;kamienica;
26;AKWENOWA ;02;dom;
27;AKWENOWA ;02;budynek gospodarczy;
28;ALDONY;2;kamienica;
29;ALDONY;01/1A;kamienica;
30;ALDONY;2 A;kamienica;
31;ALDONY;3;kamienica;
32;ALDONY;4;kamienica;
33;ALDONY;5;kamienica;
34;ALDONY;6;kamienica;
35;ALDONY;7;kamienica;
36;ALDONY;8;kamienica;
37;ALDONY;9;kamienica;
38;ALDONY;10;kamienica;
39;ALDONY;11;kamienica;
40;ALDONY;12;kamienica;
41;ALDONY;13;kamienica;
42;ALDONY;15/16;kamienica;
43;ALEJA HALLERA gen. JÛzefa ;1C;dom;
44;ALEJA HALLERA gen. JÛzefa;02 A;dom;
45;ALEJA HALLERA gen. JÛzefa;02 B;dom;
46;ALEJA HALLERA gen. JÛzefa;04;dom;
47;ALEJA HALLERA gen. JÛzefa;04 A;dom;
48;ALEJA HALLERA gen. JÛzefa;05;dom;
49;ALEJA HALLERA gen. JÛzefa;06;dom;
50;ALEJA HALLERA gen. JÛzefa;07;dom;
51;ALEJA HALLERA gen. JÛzefa ;9;dom;
52;ALEJA HALLERA gen. JÛzefa ;10/12;kamienica;
53;ALEJA HALLERA gen. JÛzefa;11;dom;
54;ALEJA HALLERA gen. JÛzefa;13;dom;
55;ALEJA HALLERA gen. JÛzefa ;14;"Szko≥a - Instytut Kszta≥cenia Nauczycieli; Bibl. Pedagogiczna";
56;ALEJA HALLERA gen. JÛzefa ;14;budynek gosp. I w zesp. Inst.Kszta≥cenia Nauczycieli;
57;ALEJA HALLERA gen. JÛzefa ;14;dom;
58;ALEJA HALLERA gen. JÛzefa;15 (w pobliøu);wiadukt ;
59;ALEJA HALLERA gen. JÛzefa ;15;dom;
60;ALEJA HALLERA gen. JÛzefa ;17;budynek mieszkalny;
61;ALEJA HALLERA gen. JÛzefa ;19/21/23/25/27/29/31/33/35/37/39/41/43/45/47/49/51/53/55/57/59/61/63/65/67/69/71/73/75/77/79/81/83/85/87/89/91/93/95/97/99/101/103/105;budynek mieszkalny;
62;ALEJA HALLERA gen. JÛzefa ;50/52;dom mieszkalny ( robotniczy) - zespÛ≥ 9 budynkÛw;
63;ALEJA HALLERA gen. JÛzefa ;54/56;dom mieszkalny ( robotniczy) - zespÛ≥ 9 budynkÛw;
64;ALEJA HALLERA gen. JÛzefa ;58/60;dom mieszkalny ( robotniczy) - zespÛ≥ 9 budynkÛw;
65;ALEJA HALLERA gen. JÛzefa ;62/64;dom mieszkalny ( robotniczy) - zespÛ≥ 9 budynkÛw;
66;ALEJA HALLERA gen. JÛzefa ;66/68;dom mieszkalny ( robotniczy) - zespÛ≥ 9 budynkÛw;
67;ALEJA HALLERA gen. JÛzefa ;70/72;dom mieszkalny ( robotniczy) - zespÛ≥ 9 budynkÛw;
68;ALEJA HALLERA gen. JÛzefa ;74/76;dom mieszkalny ( robotniczy) - zespÛ≥ 9 budynkÛw;
69;ALEJA HALLERA gen. JÛzefa ;78/80;dom;
70;ALEJA HALLERA gen. JÛzefa ;90/92/94/96/98/100/102;zespÛ≥ domÛw;
71;ALEJA HALLERA gen. JÛzefa ;104/106/108/110/112/114/116/118/120;zespÛ≥ domÛw;
72;ALEJA HALLERA gen. JÛzefa ;108;d. szko≥a Heleny Lange, ob.. Wydzia≥ farmaceutyczny AMG;
73;ALEJA HALLERA gen. JÛzefa ;201;budynek oczyszczalni úciekÛw;
74;ALEJA HALLERA gen. JÛzefa;240 k. (dzia≥ka nr 022.30/1);d. cmentarz + brama wejúÊiowa;
75;ALEJA GRUNWALDZKA ;1;willa, ob. konsulat ChRL;
76;ALEJA GRUNWALDZKA ;2;bunkier;
77;ALEJA GRUNWALDZKA ;2;kamienica;
78;ALEJA GRUNWALDZKA ;3;kamienica;
79;ALEJA GRUNWALDZKA ;4;kamienica;
80;ALEJA GRUNWALDZKA ;5;dwÛr UphagenÛw (Monplaisir)- d.Pa≥ac ålubÛw;775
81;ALEJA GRUNWALDZKA ;6;kamienica;
82;ALEJA GRUNWALDZKA ;7;kamienica;
83;ALEJA GRUNWALDZKA ;16;budynek Teatru Miniatura;
84;ALEJA GRUNWALDZKA ;18;willa, ob. Radio GdaÒsk;1643
85;ALEJA GRUNWALDZKA ;19 (w pobliøu);drewniany szalet;
86;ALEJA GRUNWALDZKA ;20;kamienica;
87;ALEJA GRUNWALDZKA ;24;kamienica;
88;ALEJA GRUNWALDZKA ;26-28;kamienica;
89;ALEJA GRUNWALDZKA ;42;kamienica;
90;ALEJA GRUNWALDZKA ;44;kamienica;
91;ALEJA GRUNWALDZKA ;62;kamienica;
92;ALEJA GRUNWALDZKA ;92;kamienica;
93;ALEJA GRUNWALDZKA ;108;budynek poczty;1676
94;ALEJA GRUNWALDZKA ;116B;kamienica;
95;ALEJA GRUNWALDZKA ;117;kamienica;
96;ALEJA GRUNWALDZKA ;124;kamienica;
97;ALEJA GRUNWALDZKA ;127;kamienica;
98;ALEJA GRUNWALDZKA ;128CD;kamienica;
99;ALEJA GRUNWALDZKA ;129;kamienica;
100;ALEJA GRUNWALDZKA ;131;kamienica;
101;ALEJA GRUNWALDZKA ;136;kamienica;
102;ALEJA GRUNWALDZKA ;137;kamienica;
103;ALEJA GRUNWALDZKA ;138;kamienica;
104;ALEJA GRUNWALDZKA ;140;kamienica;
105;ALEJA GRUNWALDZKA ;142A;kamienica;
106;ALEJA GRUNWALDZKA ;165;dom;
107;ALEJA GRUNWALDZKA ;184;dawne koszary Strzyøa GÛrna;
108;ALEJA GRUNWALDZKA ;186;dawne koszary Strzyøa GÛrna;
109;ALEJA GRUNWALDZKA ;188;dawne koszary Strzyøa GÛrna;
110;ALEJA GRUNWALDZKA ;190;dawne koszary Strzyøa GÛrna;
111;ALEJA GRUNWALDZKA ;203;dom;
112;ALEJA GRUNWALDZKA ;204;kamienica;
113;ALEJA GRUNWALDZKA ;206;kamienica;
114;ALEJA GRUNWALDZKA ;207;dom;
115;ALEJA GRUNWALDZKA ;208;kamienica;
116;ALEJA GRUNWALDZKA ;210;kamienica;
117;ALEJA GRUNWALDZKA ;218;kamienica;
118;ALEJA GRUNWALDZKA ;219;pawilon handlowy;
119;ALEJA GRUNWALDZKA ;220;kamienica;
120;ALEJA GRUNWALDZKA ;220;kamienica;
121;ALEJA GRUNWALDZKA ;222;kamienica;
122;ALEJA GRUNWALDZKA ;224;kamienica;
123;ALEJA GRUNWALDZKA ;226;kamienica;
124;ALEJA GRUNWALDZKA ;228;kamienica;
125;ALEJA GRUNWALDZKA ;230;kamienica;
126;ALEJA GRUNWALDZKA ;232;kamienica;
127;ALEJA GRUNWALDZKA ;234;kamienica;
128;ALEJA GRUNWALDZKA ;236;kamienica;
129;ALEJA GRUNWALDZKA ;470;Hala Olivia;
130;ALEJA GRUNWALDZKA ;482/484;dom;
131;ALEJA GRUNWALDZKA ;485;kamienica;
132;ALEJA GRUNWALDZKA ;486;kamienica;
133;ALEJA GRUNWALDZKA ;488/488 A;dom;
134;ALEJA GRUNWALDZKA ;490;kamienica;
135;ALEJA GRUNWALDZKA ;492;kamienica;
136;ALEJA GRUNWALDZKA ;494;kamienica;
137;ALEJA GRUNWALDZKA ;495;kamienica;
138;ALEJA GRUNWALDZKA ;496;kamienica;
139;ALEJA GRUNWALDZKA ;498;dom;
140;ALEJA GRUNWALDZKA ;499;kamienica;
141;ALEJA GRUNWALDZKA ;500;dom;
142;ALEJA GRUNWALDZKA ;502;dom;
143;ALEJA GRUNWALDZKA ;504;kamienica;
144;ALEJA GRUNWALDZKA ;505;kamienica;
145;ALEJA GRUNWALDZKA ;515;kamienica;
146;ALEJA GRUNWALDZKA ;516;kamienica;
147;ALEJA GRUNWALDZKA ;516 A;kamienica;
148;ALEJA GRUNWALDZKA ;517;kamienica;
149;ALEJA GRUNWALDZKA ;517 (w pobliøu);kapliczka przydroøna;692
150;ALEJA GRUNWALDZKA ;519;kamienica;
151;ALEJA GRUNWALDZKA ;520;zespÛ≥ m≥yna VI ( dom mieszkalny w zespole m≥yna VI, M≥yn VI, za≥oøenie stawu wraz z zieleniπ przy zespole mlyna VI);
152;ALEJA GRUNWALDZKA ;521;kamienica;
153;ALEJA GRUNWALDZKA ;523;dom;
154;ALEJA GRUNWALDZKA ;528;kamienica;
155;ALEJA GRUNWALDZKA ;529;"willa ""Tannenheim"" z ogrodem";1102
156;ALEJA GRUNWALDZKA ;529 A;"budynek obok willi ""Tannenheim""";
157;ALEJA GRUNWALDZKA ;530;kamienica;
158;ALEJA GRUNWALDZKA ;532;kamienica;
159;ALEJA GRUNWALDZKA ;533;kamienica;
160;ALEJA GRUNWALDZKA ;535;zespÛ≥  fabryki myd≥a - dom mieszkalny pracownikÛw fabryki;1576
161;ALEJA GRUNWALDZKA ;537;zespÛ≥  fabryki myd≥a - budynek produkcyjno-mieszkalny;1576
162;ALEJA GRUNWALDZKA ;541;kamienica;
163;ALEJA GRUNWALDZKA ;547;dom;
164;ALEJA GRUNWALDZKA ;549;dom;
165;ALEJA GRUNWALDZKA ;551;dom;
166;ALEJA GRUNWALDZKA ;555;dom;
167;ALEJA GRUNWALDZKA ;559;dom;
168;ALEJA GRUNWALDZKA ;561;kamienica;
169;ALEJA GRUNWALDZKA ;563 A;kamienica;
170;ALEJA GRUNWALDZKA ;565;kamienica;
171;ALEJA GRUNWALDZKA ;567;kamienica;
172;ALEJA GRUNWALDZKA ;580;kamienica;
173;ALEJA GRUNWALDZKA ;582;kamienica;
174;ALEJA GRUNWALDZKA ;584;kamienica;
175;ALEJA GRUNWALDZKA ;586;kamienica;
176;ALEJA GRUNWALDZKA ;586 A;kamienica;
177;ALEJA GRUNWALDZKA ;590;kamienica;
178;ALEJA GRUNWALDZKA ;590 A;kamienica;
179;ALEJA GRUNWALDZKA ;596;kamienica;
180;ALEJA GRUNWALDZKA ;597;kamienica;
181;ALEJA GRUNWALDZKA ;598;kamienica;
182;ALEJA GRUNWALDZKA ;600;kamienica;
183;ALEJA GRUNWALDZKA ;601;kamienica;
184;ALEJA GRUNWALDZKA ;601 A;kamienica;
185;ALEJA GRUNWALDZKA ;602 A/B/C;kamienica;
186;ALEJA GRUNWALDZKA ;604 A/B;kamienica;
187;ALEJA GRUNWALDZKA ;606 A/B;kamienica;
188;ALEJA GRUNWALDZKA ;608 A/B;kamienica;
189;ALEJA GRUNWALDZKA ;610 A/B ;kamienica;
190;ALEJA GRUNWALDZKA ;612 A/B/C;kamienica;
191;ALEJA GRUNWALDZKA ;;Zabudowa Grunwaldzkiej Dzielnicy Mieszkaniowej;
192;ALEJA LEGION”W;01 A ,B,C;dom (Pl.Komorowskiego1);
193;ALEJA LEGION”W;06/08/10/12/14;zespÛ≥ domÛw;
194;ALEJA LEGION”W;7;szko≥a ;
195;ALEJA LEGION”W;9;budynek szko≥y;
196;ALEJA LEGION”W;11 /11 A;budynek szko≥y;
197;ALEJA LEGION”W;11;budynek szko≥y;
198;ALEJA LEGION”W;13;koúciÛ≥ p.w. úw. Stanis≥awa Biskupa;
199;ALEJA LEGION”W;13;dom;
200;ALEJA LEGION”W;15/17/19/21/23/25/27/29/31;zespÛ≥ domÛw;
201;ALEJA LEGION”W;16/18/20/22;budynek mieszkalny;
202;ALEJA LEGION”W;24/26/28/30;budynek mieszkalny;
203;ALEJA LEGION”W;32/34/36/38/40/42/44/46/48/50/52/54/56;zespÛ≥ domÛw;
204;ALEJA LEGION”W;58 /60/62/64/66;zespÛ≥ domÛw;
205;ALEJA LEGION”W;68 /70/72;zespÛ≥ domÛw;
206;ALEJA WOJSKA POLSKIEGO;01/3/5;budynek mieszkalno-us≥ugowy;
207;ALEJA WOJSKA POLSKIEGO;07;dom;
208;ALEJA WOJSKA POLSKIEGO;08/8A/10/14/14 A;zespÛ≥ zabudowy;
209;ALEJA WOJSKA POLSKIEGO;15/17/19;zespÛ≥ zabudowy;
210;ALEJA WOJSKA POLSKIEGO;16/18;zespÛ≥ zabudowy;
211;ALEJA WOJSKA POLSKIEGO;20/22/24;zespÛ≥ zabudowy;
212;ALEJA WOJSKA POLSKIEGO;21/23/25/27;zespÛ≥ zabudowy;
213;ALEJA WOJSKA POLSKIEGO;26/28/30/32;zespÛ≥ zabudowy;
214;ALEJA WOJSKA POLSKIEGO;29;kamienica;
215;ALEJA WOJSKA POLSKIEGO;40/42/44;zespÛ≥ zabudowy;
216;ALEJA WOJSKA POLSKIEGO;44 A/44 B;zespÛ≥ zabudowy;
217;ALEJA WOJSKA POLSKIEGO;46/48/50;zespÛ≥ zabudowy;
218;ALEJA WOJSKA POLSKIEGO;52/54/56;zespÛ≥ zabudowy;
219;ALEJA ZWYCI STWA;;Wielka Aleja;411
220;ALEJA ZWYCI STWA;08;dom;
221;ALEJA ZWYCI STWA;16/17;WojewÛdzki Sπd Administracyjny;
222;ALEJA ZWYCI STWA;16/17;drugi budynek, WojewÛdzki Sπd Administracyjny;
223;ALEJA ZWYCI STWA;20;kamienica/ przychodnia NZOZ;
224;ALEJA ZWYCI STWA;21;dom ( ob.WojewÛdzki Sπd Administracyjny);
225;ALEJA ZWYCI STWA;22;dom;
226;ALEJA ZWYCI STWA;23;dom;
227;ALEJA ZWYCI STWA;24;dom;
228;ALEJA ZWYCI STWA;25;dom;
229;ALEJA ZWYCI STWA;26;willa ;1636
230;ALEJA ZWYCI STWA;27;willa;1634
231;ALEJA ZWYCI STWA;29;dom;
232;ALEJA ZWYCI STWA;33;dom;
233;ALEJA ZWYCI STWA;34;dom;
234;ALEJA ZWYCI STWA;35;dom;
235;ALEJA ZWYCI STWA;36;dom;
236;ALEJA ZWYCI STWA;37;dom;
237;ALEJA ZWYCI STWA;38;dom;
238;ALEJA ZWYCI STWA;38;dom;
239;ALEJA ZWYCI STWA;39;dom;
240;ALEJA ZWYCI STWA;40;dom;
241;ALEJA ZWYCI STWA;41/42;Budynek dydaktyczny Akademii Medycznej;
242;ALEJA ZWYCI STWA;43;dom;
243;ALEJA ZWYCI STWA;43 A;dom;
244;ALEJA ZWYCI STWA;44;dom;
245;ALEJA ZWYCI STWA;45;dom;
246;ALEJA ZWYCI STWA;46;dom;
247;ALEJA ZWYCI STWA;46 ;budynek mieszkalno - gospodarczy na zapleczu;
248;ALEJA ZWYCI STWA;46;ogrodzenie;
249;ALEJA ZWYCI STWA;47;dom;
250;ALEJA ZWYCI STWA;47;garaø;
251;ALEJA ZWYCI STWA;47;ogrodzenie;
252;ALEJA ZWYCI STWA;49;kamienica;
253;ALEJA ZWYCI STWA;49 A;kamienica;
254;ALEJA ZWYCI STWA;50;dom;
255;ALEJA ZWYCI STWA;52;dom;
256;ALEJA ZWYCI STWA;53;dom;
257;ALEJA ZWYCI STWA;54;dom;
258;ALEJA ZWYCI STWA;55;dom;
259;ALEJA ZWYCI STWA;56;dom;
260;ALEJA ZWYCI STWA;57;dom;
261;ALEJA ZWYCI STWA;58;dom;
262;ALTANKI ;07;dom;
263;ALTANKI ;08;dom;
264;ALTANKI ;08;dom;
265;ALTANKI ;11;dom;
266;ALTANKI ;12;dom;
267;ALTANKI ;12;dom;
268;ALTANKI ;26;dom;
269;ALTANKI ;26;dom;
270;ALTANKI ;39;dom;
271;ALTANKI ;39;dom;
272;ANGIELSKA GROBLA;07 A;kamienica;
273;ANGIELSKA GROBLA;07 B;kamienica;
274;ANGIELSKA GROBLA;07 C;kamienica;
275;ANGIELSKA GROBLA;07 D;kamienica;
276;ANGIELSKA GROBLA;07 E;kamienica;
277;ANGIELSKA GROBLA;10 B;kamienica;
278;ANGIELSKA GROBLA;11;kamienica;
279;ANGIELSKA GROBLA;12;kamienica;
280;ANGIELSKA GROBLA;13;kamienica;
281;ANGIELSKA GROBLA;14;kamienica;
282;ANGIELSKA GROBLA;15;kamienica;
283;ANGIELSKA GROBLA;16;kamienica;
284;ANGIELSKA GROBLA;17;kamienica;
285;ANGIELSKA GROBLA;18;kamienica;
286;ANGIELSKA GROBLA;19;zespÛ≥ Zak≥adÛw MiÍsnych (9 obiektÛw: 3, 6, 12, 14, 15, 17, 18, 19, 22);1029
287;ANGIELSKA GROBLA;30;dom;
288;ARKO—SKA;5;dom;
289;ARKO—SKA;7;dom;
290;ARKO—SKA;15;dom;
291;ARKO—SKA;18;dom;
292;ARKO—SKA;20;dom;
293;ARKO—SKA;22;dom;
294;ARKO—SKA;25;dom;
295;ARKO—SKA;35;dom;
296;ARKO—SKA;36;dom;
297;ARKO—SKA;39;dom;
298;ARKO—SKA;41;dom;
299;ARKO—SKA;43;dom;
300;ARKO—SKA;44;dom;
301;ARKO—SKA;47;dom;
302;ARKO—SKA;56;dom;
303;ARKO—SKA;58;dom;
304;ARKO—SKA;61;dom;
305;ARKO—SKA;69;dom;
306;ASNYKA Adama;2;dom;
307;ASNYKA Adama;3;dom;
308;ASNYKA Adama;4;dom;
309;ASNYKA Adama;5;dom;
310;ASNYKA Adama;6;dom;
311;ASNYKA Adama;7;dom;
312;ASNYKA Adama;8;dom;
313;ASNYKA Adama;9;dom;
314;ASTRONAUT”W ;14;dom;
315;AUGUSTY—SKIEGO Jana;1;szko≥a, d. koszary;
316;AUGUSTY—SKIEGO Jana;2;Urzπd Marsza≥kowski WojewÛdztwa Pomorskiego;
317;AUGUSTY—SKIEGO Jana;3;Baszta Bia≥a;
318;BAJKI;13-13 A;dom;
319;BAJKI;16;dom;
320;BAJKI;20/22;dom;
321;BAJKI;23/25;dom;
322;BAJKI;24/26;dom;
323;BAJKI;27;dom;
324;BAJKI;29;dom;
